COUNTY,Year,Housing_Units,Population,Units_Per_Capita,Pop_Growth
Garfield,2015,1242,2280,0.5447368421052632,1.2433392539964476
Garfield,2016,1241,2266,0.5476610767872904,-0.6140350877192983
Garfield,2017,1240,2263,0.547945205479452,-0.1323918799646955
Garfield,2018,1241,2269,0.5469369766416924,0.26513477684489617
Garfield,2019,1245,2278,0.5465320456540825,0.3966505068312032
Garfield,2020,1194,2286,0.5223097112860893,0.35118525021949076
Garfield,2021,1199,2300,0.5213043478260869,0.6124234470691163
Garfield,2022,1206,2300,0.5243478260869565,0.0
Garfield,2023,1209,2300,0.5256521739130435,0.0
Garfield,2024,1225,2325,0.5268817204301075,1.0869565217391304
Garfield,2025,1231,2300,0.5352173913043479,-1.0752688172043012
Grant,1990,22810,54798,0.41625606773969853,
Grant,1991,23148,56008,0.4132981002713898,2.2081097850286504
Grant,1992,23639,57596,0.410427807486631,2.835309241536923
Grant,1993,24231,59444,0.40762734674651774,3.2085561497326207
Grant,1994,24957,61638,0.40489633018592425,3.690868716775453
Grant,1995,25783,64099,0.4022371643863399,3.992666861351764
